model,M872956_JML_Position10_CD3_test_masks.png,M872956_JML_Position8_CD3_test_masks.png,M872956_JML_Position8_CD4_test_masks.png,M872956_JML_Position8_CD8_test_masks.png,M872956_JML_Position9_CD3_test_masks.png,M926910_CFL_Position13_CD3_test_masks.png,M926910_CFL_Position7_CD3_test_masks.png
cyto,0.409412,0.569507,0.668831,0.623288,0.455041,0.40636,0.47983
cyto2,0.407494,0.534368,0.583618,0.561151,0.437158,0.402878,0.461702
nuclei, 0.230769,0.282787,0.13522,0.216783,0.234097,0.144404,0.266798
tissuenet, 0.0,0.0,0.003546,0.0,0.0,0.0,0.0
livecell, 0.137209,0.177928,0.356467,0.391892,0.157754,0.256228,0.122807
TN1, 0.0,0.0,0.0,0.007874,0.0,0.0,0.0
TN2, 0.0,0.0,0.003546,0.0,0.0,0.0,0.0
TN3, 0.0,0.0,0.003546,0.0,0.0,0.0,0.0
LC1, 0.135514,0.178808,0.198738,0.251748,0.117333,0.14386,0.164969
LC2, 0.111905,0.122402,0.242623,0.292517,0.085873,0.104089,0.037694
LC3, 0.208238,0.267241,0.457413,0.479452,0.241287,0.226351,0.218814
LC4, 0.109005,0.131034,0.263333,0.275862,0.123626,0.172794,0.095556
